Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem
0.7233,1,0,RAG,4,1,1,3,4,1,1,1,2,1,2.0,1.0,1.0
0.4795,2,1,BEN,4,3,1,5,5,1,1,1,1,1,3.0,5.0,1.0
0.5425,1,1,HCS,3,3,1,4,3,1,1,2,4,2,3.0,3.0,1.0
2.8575,2,1,BUR,4,1,1,4,4,1,1,2,1,1,1.0,0.0,1.0
3.526,2,1,HCS,5,0,1,4,4,1,1,1,4,4,3.0,0.0,1.0
14.5041,1,1,SBI,4,1,0,4,4,1,1,4,4,4,1.0,0.0,1.0
8.863,1,1,CRX,4,0,1,3,5,1,1,1,2,1,1.0,0.0,1.0
2.6877,2,1,ABY,6,1,1,4,4,1,1,2,3,3,1.0,0.0,1.0
8.0137,1,1,NFO,8,5,1,3,4,1,1,1,3,1,1.0,0.0,1.0
14.1726,1,1,HCS,4,5,0,3,5,1,1,1,3,2,1.0,0.0,1.0
4.6795,2,1,SBI,4,2,1,3,3,1,1,2,4,4,3.0,0.0,1.0
5.6411,2,1,HCS,1,1,1,3,2,1,1,1,3,3,2.0,0.0,1.0
0.3507,1,0,CRX,8,1,1,4,4,1,1,1,2,1,1.0,0.0,1.0
4.3534,1,1,CRX,5,0,1,4,4,1,1,3,2,2,1.0,0.0,1.0
3.0767,1,1,SBI,8,4,1,3,3,1,1,2,4,3,1.0,3.0,1.0
6.3973,2,1,ABY,7,4,1,4,5,1,1,1,2,1,2.0,0.0,1.0
1.1233,2,1,SBI,8,3,1,4,4,1,1,2,3,3,1.0,0.0,1.0
5.4356,1,1,HCS,1,4,1,5,5,1,1,3,3,3,1.0,0.0,0.0
2.7315,2,1,BEN,4,5,1,5,4,1,1,2,3,2,2.0,0.0,1.0
0.6247,1,0,ABY,5,4,1,5,5,1,1,2,2,2,3.0,0.0,1.0
4.1534,1,1,NFO,4,5,1,3,4,1,1,1,3,2,3.0,4.0,1.0
4.1534,1,1,RAG,4,3,1,2,1,1,1,1,4,5,1.0,0.0,1.0
1.4986,1,1,EUR,4,1,1,5,4,1,1,2,3,3,4.0,3.0,3.0
16.5616,1,1,HCS,2,1,0,3,3,1,1,2,2,2,3.0,1.0,1.0
0.9014,1,0,EUR,4,0,1,4,4,1,1,1,2,3,2.0,0.0,1.0
10.8137,2,1,HCS,3,5,1,3,4,1,1,2,2,1,3.0,1.0,1.0
4.2822,2,1,RAG,4,5,1,4,5,1,1,2,1,1,3.0,2.0,1.0
4.8164,2,1,NFO,4,4,0,3,2,1,1,2,3,4,3.0,2.0,1.0
3.3178,2,1,HCS,4,0,1,4,4,1,1,2,3,3,2.0,0.0,2.0
2.6055,2,1,HCS,2,0,1,4,4,2,1,2,3,3,2.0,1.0,1.0
1.5808,2,1,HCS,4,0,1,5,5,1,1,2,2,2,2.0,4.0,1.0
6.4164,1,1,BEN,5,2,1,2,3,1,1,3,2,2,1.0,0.0,1.0
2.0959,2,1,BEN,5,2,1,4,2,1,1,2,2,2,1.0,0.0,1.0
1.5699,1,0,BEN,5,3,1,4,3,1,1,2,2,2,1.0,0.0,1.0
2.4247,2,0,BEN,5,2,1,3,2,1,1,1,2,2,1.0,0.0,1.0
5.6932,2,1,BEN,5,2,1,3,3,1,1,2,2,2,1.0,0.0,1.0
2.9425,1,1,BEN,5,2,1,4,3,1,1,1,2,2,2.0,0.0,1.0
2.3068,1,1,other,6,5,1,5,4,1,1,1,2,2,3.0,0.0,1.0
0.4,2,0,other,4,0,1,5,5,1,1,1,2,2,1.0,0.0,1.0
0.3014,1,0,MCO,4,0,1,5,5,1,1,1,2,2,5.0,0.0,1.0
2.5068,1,1,HCS,1,1,1,4,4,1,1,1,2,3,2.0,2.0,1.0
2.5068,1,0,HCS,1,1,1,4,4,2,2,2,2,3,2.0,3.0,1.0
2.7699,1,1,HCS,4,1,1,4,5,1,1,2,2,3,3.0,0.0,1.0
7.8603,2,1,BRI,4,2,1,3,3,1,1,2,3,3,2.0,0.0,1.0
7.863,2,1,BRI,4,4,1,3,4,1,1,3,3,2,2.0,0.0,1.0
6.6329,2,1,HCS,4,0,1,3,4,1,1,2,2,2,1.0,0.0,1.0
6.0137,1,1,ABY,4,1,1,4,4,1,1,1,1,1,4.0,0.0,1.0
4.4521,2,1,ABY,5,1,1,4,5,1,1,2,1,1,1.0,0.0,1.0
3.5068,2,1,HCS,5,1,1,3,5,1,1,1,2,2,3.0,0.0,1.0
7.463,1,1,CRX,4,0,1,3,5,1,1,2,1,1,1.0,0.0,1.0
4.0329,1,1,BUR,5,2,1,3,5,1,1,1,2,2,1.0,0.0,1.0
2.0932,2,1,other,6,1,1,4,4,1,1,2,2,2,2.0,0.0,1.0
2.6493,2,1,RUS,5,2,1,5,5,1,1,2,1,2,3.0,0.0,1.0
4.6055,1,1,HCS,3,2,0,3,3,1,2,4,3,4,2.0,0.0,2.0
15.1041,2,1,HCS,8,3,1,2,4,1,1,1,1,1,2.0,0.0,1.0
1.4822,1,1,RAG,8,3,1,5,4,1,1,1,2,2,1.0,0.0,1.0
2.8274,2,1,RAG,4,3,1,3,2,1,1,1,3,1,3.0,0.0,1.0
5.4384,1,1,HCS,4,2,1,3,5,1,1,1,1,1,3.0,0.0,1.0
0.2575,2,0,RAG,4,1,1,4,5,1,1,1,2,1,3.0,0.0,1.0
2.5671,1,1,SBI,4,4,1,3,4,1,1,1,1,1,1.0,0.0,1.0
0.7178,2,0,SBI,4,4,1,3,4,1,1,1,2,2,1.0,0.0,1.0
6.8849,1,1,SBI,4,2,1,3,3,1,1,2,1,1,1.0,2.0,1.0
2.5671,1,1,SBI,4,4,1,3,4,1,1,1,1,1,1.0,0.0,1.0
2.9315,1,0,ABY,4,4,1,3,3,1,1,1,1,2,1.0,0.0,1.0
4.5397,2,1,SBI,4,2,1,3,4,1,1,2,1,1,1.0,2.0,1.0
1.8658,1,0,SBI,5,5,1,4,4,1,1,2,2,2,1.0,0.0,1.0
4.4712,2,1,SBI,4,2,1,4,3,1,1,1,2,3,1.0,0.0,1.0
2.2712,2,1,SBI,4,2,1,4,4,1,1,1,1,1,1.0,0.0,1.0
1.0575,1,1,MCO,5,3,1,3,5,1,1,1,1,1,1.0,0.0,1.0
0.7096,2,0,HCS,6,3,1,3,4,1,1,1,1,1,1.0,0.0,1.0
2.1151,1,1,BRI,5,4,1,4,4,1,1,1,1,2,1.0,0.0,1.0
1.6712,2,0,SBI,6,4,1,4,5,1,1,1,2,1,1.0,1.0,1.0
0.7178,2,0,HCS,6,2,0,4,5,1,1,1,1,1,2.0,0.0,1.0
7.7315,1,1,HCS,4,2,1,3,5,1,1,2,3,3,2.0,0.0,1.0
0.8795,1,1,MCO,5,4,0,4,5,1,1,1,3,2,4.0,4.0,1.0
8.3452,2,1,HCS,2,4,1,3,4,2,2,3,3,3,3.0,0.0,1.0
0.4274,1,0,HCS,3,4,1,5,4,1,1,2,2,2,2.0,4.0,1.0
5.5534,1,1,HCS,4,2,1,4,4,1,1,2,3,3,1.0,3.0,1.0
2.3726,1,1,HCS,3,0,1,5,4,3,1,3,5,5,1.0,0.0,2.0
16.3123,2,1,HCS,5,4,1,3,5,1,1,2,1,1,1.0,0.0,1.0
7.2904,2,1,BEN,5,4,0,4,5,1,1,4,3,1,2.0,0.0,1.0
5.8904,1,1,HCS,4,1,0,4,5,1,1,3,3,3,1.0,4.0,1.0
2.589,2,1,HCS,6,2,0,5,5,1,1,1,3,2,3.0,4.0,1.0
4.9562,1,1,SBI,4,3,1,2,2,2,1,1,3,3,1.0,1.0,2.0
6.137,2,1,BRI,4,4,1,3,3,1,1,2,1,2,2.0,0.0,1.0
1.537,1,1,HCS,4,2,0,4,5,1,1,1,2,1,2.0,0.0,1.0
6.4493,2,1,RAG,6,3,1,3,4,1,1,3,2,2,3.0,0.0,1.0
1.4274,2,1,RAG,5,5,1,4,4,1,1,1,3,3,3.0,1.0,1.0
8.4575,2,1,NFO,4,5,1,4,4,1,1,3,1,1,1.0,0.0,1.0
3.1479,2,1,RAG,8,3,1,3,2,1,1,2,3,3,1.0,0.0,1.0
1.8055,2,1,RAG,8,5,1,3,3,1,1,1,2,1,1.0,0.0,2.0
6.5315,1,1,HCS,1,5,0,4,4,1,1,4,4,4,1.0,0.0,1.0
8.8219,2,1,SBI,8,1,1,4,5,1,1,1,1,1,3.0,0.0,1.0
9.8247,2,1,SBI,8,1,1,3,3,1,1,1,2,2,1.0,0.0,1.0
2.5288,1,1,HCS,2,2,1,4,4,1,1,1,1,2,2.0,0.0,1.0
6.5014,1,1,SBI,8,1,1,4,5,1,1,1,1,1,1.0,0.0,1.0
13.5068,1,1,SBI,6,4,1,3,3,1,1,2,2,2,1.0,0.0,0.0
12.7808,1,1,HCS,3,0,1,3,5,1,1,2,1,1,1.0,3.0,1.0
